id, name, type, samplingRate, min, max, value, status
1,Temperatura motor,Temperatura,10,15,70,41.020106060748965,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,34.79113017550444,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,85.59572481187668,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,31.00987477629412,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,12.06950582368389,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,14.358071508924802,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,68.22753260900694,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,80.59921572235092,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,13.624037390638644,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,36.31321808954616,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,48.40331056237248,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,6.957500407400408,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,6.56539458662627,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,40.16315394600856,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,6.975583790525853,SUCCESS
1,Temperatura motor,Temperatura,10,15,70,34.041865141330895,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,39.78632659873455,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,22.487873107775044,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,52.658968509958655,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,13.15846815875651,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,8.10372578213953,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,32.71161081257424,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,38.166328305081116,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,13.744490218436457,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,33.087850728022474,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,46.46620438921734,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,10.755407990820405,SUCCESS
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,9.07893742111356,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,50.09106630369148,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,11.772610281308978,SUCCESS
1,Temperatura motor,Temperatura,10,15,70,17.264358318290945,SUCCESS
2,Pressão do óleo,Pressão,20,30,40,40.31646941692985,FAILED
3,Temperatura da roda traseira esquerda,Temperatura,30,5,110,66.99037263611795,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,63.342439762740824,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,6.482025642440435,SUCCESS
5,Nível de água do motor,Umidade,50,5,15,6.17298264134891,SUCCESS
4,Temperatura do freio traseiro direito,Temperatura,40,20,70,56.1376758911759,SUCCESS
